symbol
circle_blue
circle_green
circle_red
circle_yellow
pin_blue
pin_green
pin_red
pin_yellow
flag_blue
flag_green
flag_red
flag_yellow
danger_red
danger_yellow
info
question
pencil
tag
tool
tools
cross
